date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jan%202024%2006:48:35%20GMT	http://www.tirupurexpress.com/public/uploads/listing_category_photos/c1a1a83e4afe3782f99b4f37492681a6.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/c1a1a83e4afe3782f99b4f37492681a6.jpg	(from https://www.tirupurexpress.com/)
12:18:36	27697/27697	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Apr%202022%2015:22:57%20GMT	https://www.tirupurexpress.com/public/uploads/listing_category_photos/c1a1a83e4afe3782f99b4f37492681a6.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/c1a1a83e4afe3782f99b4f37492681a6.jpg	(from https://www.tirupurexpress.com/)
12:18:36	705845/705845	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Apr%202022%2013:23:11%20GMT	https://www.tirupurexpress.com/public/uploads/site_photos/3c9e99bff4c1b274b606c86d30d3a351.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/site_photos/3c9e99bff4c1b274b606c86d30d3a351.jpg	(from https://www.tirupurexpress.com/)
12:18:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jan%202024%2006:48:38%20GMT	http://www.tirupurexpress.com/public/uploads/listing_category_photos/2cc2dd7949e7ab586be3882f9d5151fe.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/2cc2dd7949e7ab586be3882f9d5151fe.jpg	(from https://www.tirupurexpress.com/)
12:18:38	22250/22250	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:48:37%20GMT	https://www.tirupurexpress.com/listing/category/real-estate	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/listing/category/real-estate.html	(from https://www.tirupurexpress.com/)
12:18:39	9649/9649	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Apr%202022%2015:24:49%20GMT	https://www.tirupurexpress.com/public/uploads/listing_category_photos/2cc2dd7949e7ab586be3882f9d5151fe.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/2cc2dd7949e7ab586be3882f9d5151fe.jpg	(from https://www.tirupurexpress.com/)
12:18:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jan%202024%2006:48:40%20GMT	http://www.tirupurexpress.com/public/uploads/listing_category_photos/3f4d864199a64d08c04f58b20b9851ca.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/3f4d864199a64d08c04f58b20b9851ca.jpg	(from https://www.tirupurexpress.com/)
12:18:40	20478/20478	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:48:39%20GMT	https://www.tirupurexpress.com/listing/category/advertisements	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/listing/category/advertisements.html	(from https://www.tirupurexpress.com/)
12:18:41	32276/32276	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Apr%202022%2015:29:28%20GMT	https://www.tirupurexpress.com/public/uploads/listing_category_photos/3f4d864199a64d08c04f58b20b9851ca.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/3f4d864199a64d08c04f58b20b9851ca.jpg	(from https://www.tirupurexpress.com/)
12:18:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jan%202024%2006:48:41%20GMT	http://www.tirupurexpress.com/public/uploads/listing_category_photos/4b0aee4713d86547bd4d717029700d6a.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/4b0aee4713d86547bd4d717029700d6a.jpg	(from https://www.tirupurexpress.com/)
12:18:42	18930/18930	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:48:41%20GMT	https://www.tirupurexpress.com/listing/category/interiordecorator	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/listing/category/interiordecorator.html	(from https://www.tirupurexpress.com/)
12:18:43	85309/85309	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2013:27:12%20GMT	https://www.tirupurexpress.com/public/uploads/listing_category_photos/4b0aee4713d86547bd4d717029700d6a.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/4b0aee4713d86547bd4d717029700d6a.jpg	(from https://www.tirupurexpress.com/)
